dsn,oem,identifier,index,lat,long
Company,Item,Calories,Trans Fat,Sodium,Sugars
McDonald’s,Hamburger,250,0.5,520,6
McDonald’s,Cheeseburger,300,0.5,750,6
McDonald’s,Double Cheeseburger,440,1.5,1150,7
McDonald’s,McDouble,390,1,920,7
McDonald’s, Quarter Pounder® with Cheese,510,1.5,1190,9
McDonald’s,Double Quarter Pounder® with Cheese,740,2.5,1380,9
McDonald’s,Big Mac®,540,1.5,1040,9
McDonald’s,Big N’ Tasty®,460,1.5,720,8
McDonald’s,Big N’ Tasty® with Cheese,510,1.5,960,8
McDonald’s,Angus Bacon & Cheese,790,2,2070,13
McDonald’s,Angus Deluxe,750,2,1700,10
McDonald’s,Angus Mushroom & Swiss,770,2,1170,8
McDonald’s,Filet-O-Fish®,380,0,640,5
McDonald’s,McChicken ®,360,0,830,5
McDonald’s,McRib ®,500,0,980,11
McDonald’s,Premium Grilled Chicken Classic Sandwich,360,0,820,8
McDonald’s,Premium Crispy Chicken Classic Sandwich,510,0,990,10
McDonald’s,Premium Grilled Chicken Club Sandwich,460,0,1040,9
McDonald’s,Premium Crispy Chicken Club Sandwich,620,0,1200,11
McDonald’s,Premium Grilled Chicken Ranch BLT Sandwich,380,0,1000,9
McDonald’s,Premium Crispy Chicken Ranch BLT Sandwich,540,0,1160,11
McDonald’s,Southern Style Crispy Chicken Sandwich,400,0,1030,6
McDonald’s,Ranch Snack Wrap® (Crispy),340,0,810,2
McDonald’s,Ranch Snack Wrap® (Grilled),270,0,830,2
McDonald’s,Honey Mustard Snack Wrap® (Crispy),330,0,780,4
McDonald’s,Honey Mustard Snack Wrap® (Grilled),260,0,800,4
McDonald’s,Chipotle BBQ Snack Wrap® (Crispy),330,0,810,4
McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),260,0,830,5
McDonald’s,Angus Bacon & Cheese Snack Wrap,390,1,1080,4
McDonald’s,Angus Chipotle BBQ Bacon,800,2,2020,16
McDonald’s,Angus Chipotle BBQ Bacon Snack Wrap,400,1,1060,6
McDonald’s,Angus Deluxe Snack Wrap,410,1.5,990,3
McDonald’s,Angus Mushroom & Swiss Snack Wrap,430,1.5,730,2
McDonald’s,Mac Snack Wrap,330,1,690,3
